Method,Layer,Case_ID,X_Signal,Y_Noise,Norm_Delta
TRIM (Ours),12,0,0.0071350145153701305,0.09622849966529765,0.09649265557527542
TRIM (Ours),13,0,0.01853623054921627,0.11433258509904178,0.11582543700933456
TRIM (Ours),14,0,0.03396526724100113,0.15532999139013204,0.15900014340877533
TRIM (Ours),15,0,0.04007016122341156,0.22499766249228975,0.2285378873348236
TRIM (Ours),16,0,0.05888433754444122,0.3952723537982943,0.39963433146476746
TRIM (Ours),12,0,0.002401473466306925,0.11047388706949075,0.11049998551607132
TRIM (Ours),13,0,0.004915958736091852,0.14126777032756896,0.1413532793521881
TRIM (Ours),14,0,0.014464735053479671,0.17524253015059663,0.17583848536014557
TRIM (Ours),15,0,0.011401829309761524,0.22190675810341978,0.222199484705925
TRIM (Ours),16,0,0.020404309034347534,0.40170588990882433,0.40222376585006714
TRIM (Ours),12,0,7.784787885611877e-05,0.10844813473393708,0.10844816267490387
TRIM (Ours),13,0,0.00991805549710989,0.13042952523023676,0.1308060735464096
TRIM (Ours),14,0,0.005961157381534576,0.17855994638512118,0.17865942418575287
TRIM (Ours),15,0,0.011533980257809162,0.24826191872067901,0.24852970242500305
TRIM (Ours),16,0,0.013059274293482304,0.3921340219072987,0.3923514187335968
TRIM (Ours),12,0,0.023034868761897087,0.12473405480138372,0.1268431693315506
TRIM (Ours),13,0,0.02064819447696209,0.14081986914587455,0.14232562482357025
TRIM (Ours),14,0,0.029742587357759476,0.20206209944149908,0.2042393535375595
TRIM (Ours),15,0,0.04987037926912308,0.27701991737495624,0.2814730703830719
TRIM (Ours),16,0,0.06032037362456322,0.43401267708144414,0.43818438053131104
TRIM (Ours),12,0,0.01564977690577507,0.1026069356482485,0.10379353910684586
TRIM (Ours),13,0,0.025701411068439484,0.12799803866944892,0.13055290281772614
TRIM (Ours),14,0,0.028878986835479736,0.18571705842909572,0.18794898688793182
TRIM (Ours),15,0,0.021055886521935463,0.25642264528071246,0.2572856843471527
TRIM (Ours),16,0,0.02850271947681904,0.3906844281246739,0.39172276854515076
TRIM (Ours),12,0,0.0030335451010614634,0.12156130027961014,0.12159914523363113
TRIM (Ours),13,0,0.003852844936773181,0.14577592517132643,0.14582683145999908
TRIM (Ours),14,0,0.0010583697585389018,0.18195094809297865,0.181954026222229
TRIM (Ours),15,0,0.01699005626142025,0.247645377825035,0.24822750687599182
TRIM (Ours),16,0,0.02233950048685074,0.4512371812416393,0.45178982615470886
TRIM (Ours),12,0,0.001541104051284492,0.11796075775678368,0.11797082424163818
TRIM (Ours),13,0,0.012722971849143505,0.14452716309875802,0.14508609473705292
TRIM (Ours),14,0,0.01188894547522068,0.18503935621536596,0.1854209005832672
TRIM (Ours),15,0,0.023105977103114128,0.25209829281991303,0.2531549632549286
TRIM (Ours),16,0,0.03556203842163086,0.3644134521064468,0.3661445379257202
TRIM (Ours),12,0,0.006262780167162418,0.10798537135532746,0.10816682875156403
TRIM (Ours),13,0,0.022426005452871323,0.12058703481388465,0.12265463173389435
TRIM (Ours),14,0,0.046388741582632065,0.17949830135926845,0.18539567291736603
TRIM (Ours),15,0,0.03934948146343231,0.24690542317920802,0.2500213384628296
TRIM (Ours),16,0,0.062239617109298706,0.414717131747498,0.41936150193214417
TRIM (Ours),12,0,0.010427896864712238,0.12391575561282248,0.12435375154018402
TRIM (Ours),13,0,0.006360808853060007,0.13560643961015034,0.1357555389404297
TRIM (Ours),14,0,0.02860408090054989,0.17391471996590457,0.17625130712985992
TRIM (Ours),15,0,0.024938048794865608,0.1965128790532372,0.19808891415596008
TRIM (Ours),16,0,0.03608619049191475,0.3686385423123775,0.3704005777835846
TRIM (Ours),12,0,0.0026408093981444836,0.10570379451792516,0.10573677718639374
TRIM (Ours),13,0,0.00994179118424654,0.1350910378538372,0.1354563683271408
TRIM (Ours),14,0,0.0013421514304354787,0.18802609351684052,0.1880308836698532
TRIM (Ours),15,0,0.011272015050053596,0.2510105629521159,0.2512635290622711
TRIM (Ours),16,0,0.008651111274957657,0.3722068657392053,0.3723073899745941
TRIM (Ours),12,0,0.0010678801918402314,0.11878228735232871,0.11878708750009537
TRIM (Ours),13,0,0.0015199898043647408,0.1414708053496876,0.14147897064685822
TRIM (Ours),14,0,0.018837904557585716,0.21190649354449279,0.2127421647310257
TRIM (Ours),15,0,0.012820202857255936,0.27927274909578126,0.27956685423851013
TRIM (Ours),16,0,0.0012417046818882227,0.40057597828156094,0.4005779027938843
TRIM (Ours),12,0,0.012574944645166397,0.1087939636038783,0.10951828956604004
TRIM (Ours),13,0,0.02279442921280861,0.11317631329492643,0.1154489666223526
TRIM (Ours),14,0,0.021557223051786423,0.1522867250121249,0.1538049429655075
TRIM (Ours),15,0,0.02910476177930832,0.19592063031783538,0.19807064533233643
TRIM (Ours),16,0,0.033666323870420456,0.34220013031537955,0.3438522219657898
TRIM (Ours),12,0,0.018215464428067207,0.10806314220536561,0.10958761721849442
TRIM (Ours),13,0,0.017370954155921936,0.15270076170700123,0.15368562936782837
TRIM (Ours),14,0,0.00031715151271782815,0.18549975463022658,0.18550002574920654
TRIM (Ours),15,0,0.012949515134096146,0.23832347574149218,0.23867502808570862
TRIM (Ours),16,0,0.012712215073406696,0.4207709147502741,0.4209628999233246
TRIM (Ours),12,0,0.0007689223275519907,0.10120590744842282,0.10120882838964462
TRIM (Ours),13,0,0.012538590468466282,0.14362062384475213,0.14416691660881042
TRIM (Ours),14,0,0.016947640106081963,0.20835782990785526,0.20904594659805298
TRIM (Ours),15,0,0.015256413258612156,0.2386411297909419,0.23912830650806427
TRIM (Ours),16,0,0.04218575730919838,0.347332770719208,0.3498852550983429
TRIM (Ours),12,0,0.014447972178459167,0.13088169560152021,0.13167673349380493
TRIM (Ours),13,0,0.028467921540141106,0.143233052999692,0.14603468775749207
TRIM (Ours),14,0,0.028083618730306625,0.19187488370467,0.19391921162605286
TRIM (Ours),15,0,0.06471404433250427,0.25713573413283736,0.265154093503952
TRIM (Ours),16,0,0.09373262524604797,0.42879095546980783,0.43891626596450806
TRIM (Ours),12,0,0.013505577109754086,0.09940192594610708,0.10031522065401077
TRIM (Ours),13,0,0.023608243092894554,0.14186965260382817,0.14382053911685944
TRIM (Ours),14,0,0.033699069172143936,0.19275333550309592,0.19567696750164032
